Loc id 1,Loc id 2, length (m)
CT32,CT160,6992
CT32,CT198,12014
CT32,CT3,17407
CT31,CT259,2352
CT31,CT93,4163
CT34,CT220,5190
CT34,CT207,15150
CT34,CT36,17857
CT34,CT221,18438
CT34,CT276,19597
CT33,CT26,11293
CT33,CT214,15087
CT33,CT120,15102
CT33,CT219,18428
CT33,CT76,22907
CT36,CT221,3237
CT36,CT207,15011
CT36,CT220,16237
CT35,CT290,5431
CT35,CT102,5591
CT35,CT150,8059
CT35,CT38,9606
CT38,CT195,7012
CT38,CT102,8427
CT37,CT127,10254
CT37,CT272,18341
CT37,CT218,18461
CT39,CT137,9485
CT39,CT74,9842
CT39,CT7,11460
CT39,CT266,12153
CT199,CT72,15846
CT199,CT272,16168
CT199,CT258,16649
CT199,CT187,19324
CT199,CT68,19629
CT198,CT114,6341
CT198,CT3,8615
CT198,CT286,12034
CT198,CT160,17635
CT197,CT323,6123
CT197,CT265,17873
CT197,CT41,25065
CT197,CT292,25469
CT196,CT292,7241
CT196,CT252,7696
CT196,CT104,13910
CT195,CT150,8943
CT195,CT129,9712
CT195,CT35,10631
CT195,CT290,11102
CT194,CT111,9575
CT194,CT251,15639
CT194,CT275,22452
CT194,CT143,23111
CT193,CT205,16684
CT193,CT230,20487
CT193,CT208,22092
CT193,CT262,22480
CT193,CT76,30186
CT192,CT158,7791
CT192,CT95,9058
CT191,CT144,4058
CT191,CT109,6147
CT191,CT141,7086
CT190,CT310,21990
CT190,CT173,32923
CT190,CT17,36484
CT190,CT201,40744
CT190,CT267,51083
CT41,CT78,16596
CT41,CT292,17523
CT41,CT89,22575
CT40,CT273,10849
CT40,CT216,11376
CT40,CT247,13835
CT43,CT175,16541
CT43,CT67,24129
CT43,CT223,27702
CT43,CT99,31310
CT43,CT157,35273
CT43,CT123,36072
CT42,CT107,20849
CT42,CT177,24114
CT42,CT180,30377
CT42,CT106,40836
CT42,CT271,40995
CT45,CT135,4897
CT45,CT125,5795
CT45,CT185,12143
CT44,CT269,8983
CT44,CT305,8989
CT44,CT13,10197
CT44,CT144,21122
CT47,CT123,22363
CT47,CT271,23201
