Loc id 1,Loc id 2, length (m)
CT10,CT13,63448
CT10,CT6,67584
CT10,CT1,110848
CT10,CT5,125041
CT12,CT3,50467
CT12,CT1,62877
CT12,CT15,70717
CT11,CT5,62655
CT11,CT13,121584
CT11,CT10,142470
CT14,CT13,89813
CT14,CT7,95957
CT14,CT2,114913
CT14,CT8,207558
CT13,CT7,111686
CT16,CT3,68957
CT16,CT17,79560
CT16,CT12,82996
CT16,CT9,103704
CT16,CT4,110133
CT15,CT3,43598
CT17,CT9,62879
CT17,CT1,69282
CT17,CT6,73828
CT1,CT6,56717
CT2,CT7,65574
CT2,CT8,125105
CT2,CT11,163996
CT4,CT3,157223
CT4,CT9,162527
CT5,CT9,90186
CT5,CT6,100563
CT5,CT17,111134
