Loc id,lat,lng
CT43,39.1167,-7.2833
CT315,39.65,-7.6667
CT59,41.6889,-7.665
CT97,39.2844,-7.6444
CT295,41.6075,-7.31
CT156,39.7478,-8.9322
CT58,38.8056,-7.4547
CT290,41.0997,-8.6403
CT250,41.3428,-8.4775
CT298,41.7,-8.8333
CT258,40.4203,-7.7033
CT132,40.5364,-7.2683
CT268,38.7974,-9.3904
CT66,41.8779,-8.8382
CT252,40.9,-8.5
CT245,39.0253,-8.7933
CT180,38.9333,-8.15
CT276,41.7167,-8.3
CT294,41.1833,-8.5
CT147,41.2833,-8.2833
CT322,41.3828,-8.2647
CT174,41.4,-7.95
CT287,41.4878,-7.9613
CT310,37.7167,-8.7833
CT278,39.6,-8.4167
CT277,38.8511,-9.3747
CT293,42.0282,-8.6339
CT138,37.1,-8.6667
CT260,40.9003,-7.4942
CT80,41.2008,-8.3306
CT256,39.5333,-8.1667
CT207,41.9111,-8.5597
CT68,40.5167,-7.9
CT83,37.6976,-8.0819
CT171,38.65,-8.9833
CT136,41.4333,-8.4167
CT133,41.445,-8.2908
CT301,39.6833,-8.15
CT51,38.1307,-6.9761
CT102,41.01,-8.64
CT274,41.0167,-7.7833
CT213,40.9831,-7.3894
CT81,40.9,-7.9333
CT285,41.3374,-8.5596
CT184,41.4,-7.45
CT309,41.1333,-8.6167
CT283,39.4583,-8.2461
CT316,41.65,-8.4333
CT28,38.75,-9.2333
CT286,40.6114,-8.4673
CT112,40.9254,-8.5428
CT98,38.15,-7.8833
CT88,41.7399,-7.4707
CT143,37.144,-8.0235
CT144,38.8309,-9.1684
CT42,38.7229,-7.9843
CT157,39.3942,-7.3772
CT29,41.2728,-8.0825
CT60,41.5333,-8.4167
CT288,40.2756,-8.4528
CT175,39.05,-7.4333
CT3,40.5745,-8.448
CT153,40.6058,-7.7658
CT36,41.7917,-8.5944
CT7,37.0889,-8.2511
CT264,38.5243,-8.8926
CT306,39.45,-8.4333
CT56,38.9833,-8.8167
CT204,38.5667,-8.9
CT211,40.6667,-7.6833
CT145,39.2425,-9.3122
CT314,37.2,-7.4167
CT35,41.0555,-8.6395
CT139,41.0833,-7.8667
CT261,37.9333,-7.5833
CT254,38.8125,-9.4208
CT303,41.35,-8.75
CT205,40.05,-7.95
CT214,40.0333,-8.3833
CT242,41.2651,-7.5751
CT53,39.6603,-8.8247
CT118,40.1508,-8.8618
CT131,38.1833,-8.5667
CT151,38.9333,-9.3333
CT119,40.9,-6.9667
CT173,37.3167,-8.6
CT177,38.65,-8.2167
CT281,39.4833,-8.5333
CT79,39.4167,-7.45
CT72,40.4333,-8
CT172,42.0733,-8.48
CT227,39.6,-8.8167
CT47,39.05,-7.8833
CT320,40.6667,-7.9167
CT110,41.4144,-8.5222
CT319,41.8167,-7
CT299,38.2,-7.8
CT116,39.7,-8.2833
CT89,41.0667,-8.0833
CT203,41.2833,-8.3833
CT272,40.3667,-8.0333
CT27,38.25,-7.9833
CT61,41.8,-6.75
CT240,39.3333,-8.9333
CT124,40.1392,-7.5019
CT216,41.1632,-7.789
CT169,41.3392,-6.72
CT135,40.6,-8.6667
CT75,38.6972,-9.4217
CT45,40.6389,-8.6553
CT34,41.85,-8.4167
CT183,38.3333,-7.3667
CT243,40.3519,-7.0894
CT71,41.25,-7.3
CT152,41.2333,-8.6167
CT52,38.6631,-9.0725
CT297,38.3342,-8.0014
CT231,37.0695,-8.1006
CT161,40.9631,-7.2631
CT37,40.2183,-8.0542
CT262,39.8008,-8.1003
CT150,41.1152,-8.6036
CT96,40.2833,-7.5
CT305,38.95,-8.9833
CT176,41.8239,-7.79
CT162,42.1167,-8.2667
CT190,37.5833,-8.6333
CT26,39.8333,-8.3833
CT24,39.2593,-8.585
CT247,41.2,-7.7833
CT275,37.1309,-7.6506
CT209,40.2667,-8.2667
CT304,41.3067,-7.1522
CT267,37.9536,-8.8712
CT121,40.6167,-7.5333
CT197,40.7314,-8.1767
CT129,41.15,-8.5333
CT87,39.3594,-8.4808
CT223,39.3167,-7.4167
CT263,38.4437,-9.0996
CT186,39.6,-9.0667
CT244,38.7944,-9.1053
CT74,37.1,-8.4667
CT323,40.7231,-8.1122
CT251,37.15,-7.8833
CT307,41.94,-8.7444
CT105,38.7057,-9.3977
CT114,40.5667,-8.5167
CT266,37.1833,-8.4333
CT95,38.6446,-9.2356
CT166,40.1,-8.3333
CT237,39.4453,-8.5142
CT146,40.1125,-8.2469
CT191,38.8,-9.1833
CT232,38.7566,-9.2545
CT12,37.4717,-7.4722
CT158,38.7568,-9.2748
CT6,40.6936,-8.4806
CT63,38.7704,-9.3081
CT194,37.0278,-7.8389
CT31,38.6265,-9.1189
CT225,37.1333,-8.5333
CT154,40.4,-7.5333
CT106,38.8422,-7.5881
CT113,41.3667,-8.2
CT230,39.75,-7.9167
CT9,39.4589,-8.6689
CT257,40.7333,-7.7167
CT126,39.465,-7.9369
CT195,41.0711,-8.5272
CT21,40.7259,-6.9056
CT265,40.7167,-8.3667
CT38,41.0167,-8.55
CT50,41.5347,-8.615
CT193,39.9167,-7.9167
CT284,40.7833,-7.35
CT25,39.1974,-7.6589
CT108,41.45,-8.1667
CT130,40.5,-7.6
CT206,41.2,-8.3333
CT312,41.4833,-7.6333
CT239,41.5167,-7.8
CT65,39.4069,-9.1363
CT291,39.5892,-9.0194
CT220,41.8078,-8.4194
CT198,40.5167,-8.5
CT100,39.4667,-8.4667
CT128,39.4,-8.4833
CT229,41.3916,-8.7571
CT115,38.05,-8.1
CT165,40.4285,-8.7363
CT8,38.3725,-8.5133
CT269,39.0167,-9.15
CT123,39.05,-7.65
CT32,40.4333,-8.4333
CT296,38.6833,-8.45
CT302,37.0825,-8.9119
CT70,39.75,-8.7
CT55,40.3583,-7.3514
CT246,40.3981,-8.1303
CT280,41.2,-7.1333
CT273,41.1167,-7.5667
CT233,41.5565,-8.441
CT192,38.697,-9.3017
CT91,40.1167,-8.5
CT199,40.3597,-7.8617
CT62,41.5167,-8
CT178,40.1667,-8.6833
CT321,41.3833,-8.3
CT22,39.209,-8.6164
CT228,41.5667,-8.2667
CT107,38.5667,-7.9
CT163,37.6333,-7.65
CT311,40.85,-7.7333
CT148,39.5533,-7.9986
CT73,39.1619,-8.7864
CT255,40.75,-8.0667
CT134,39.9167,-7.2333
CT215,39.3633,-9.3792
CT54,38.0333,-7.8833
CT18,37.8775,-8.1653
CT69,40.3464,-8.5942
CT201,37.65,-8.225
CT125,40.6333,-8.7167
CT48,39.0667,-8.8667
CT11,38.7553,-8.9608
CT259,38.6428,-9.1061
CT78,41.063,-8.2647
CT109,38.759,-9.2199
CT92,39.4833,-8.3333
CT82,37.2167,-7.45
CT2,38.77,-9.2988
CT137,37.1347,-8.4528
CT85,40.6333,-7.4
CT238,41.3933,-8.3883
CT187,40.5167,-7.85
CT19,38.6803,-9.1583
CT226,41.1495,-8.6108
CT44,38.9833,-9.0667
CT235,38.4167,-7.5333
CT212,40.1667,-7.1667
CT248,39.2369,-8.685
CT142,40.2594,-8.3168
CT77,39.823,-7.4931
CT41,40.9289,-8.2436
CT236,41.1,-7.95
CT270,40.05,-8.6333
CT182,38.1397,-7.4505
CT10,39.5522,-8.9775
CT117,41.6308,-8.3686
CT189,39.3585,-9.176
CT39,37.1,-8.3667
CT155,41.1833,-8.15
CT104,40.75,-8.5667
CT317,38.75,-7.4333
CT200,39.65,-8.5833
CT202,40.8597,-8.6253
CT282,39.0833,-9.2667
CT57,39.2672,-9.1581
CT76,40,-8.2167
CT90,40.2111,-8.4291
CT160,40.3781,-8.4514
CT49,41.1667,-8.0333
CT99,38.88,-7.1628
CT300,41.6333,-8.1333
CT253,41.1333,-7.4
CT64,39.25,-9.1
CT241,41.1833,-8.5667
CT122,41.0833,-6.8
CT318,41.5667,-6.5167
CT168,41.4833,-7.1833
CT196,40.84,-8.4764
CT13,39.0531,-9.0092
CT17,37.3178,-8.8
CT249,38.0167,-8.7
CT219,39.9162,-8.6279
CT181,40.3947,-8.2328
CT292,40.85,-8.4
CT120,39.9019,-8.275
CT84,41.5136,-8.4522
CT1,39.4667,-8.2
CT111,37.0161,-7.935
CT93,38.65,-9.15
CT40,41.1167,-7.6833
CT210,41.2,-8.2833
CT67,39.0167,-7.0667
CT4,40.818,-7.5414
CT141,38.7452,-9.1604
CT221,41.7667,-8.5833
CT5,38.7,-7.4
CT30,41.6333,-8.35
CT222,39.25,-8.0167
CT279,40.5164,-8.0808
CT179,38.7049,-8.9757
CT308,41.0833,-7.1333
CT14,41.35,-6.9667
CT101,41.2133,-8.5472
CT208,39.9167,-8.15
CT140,39.7444,-8.8072
CT185,40.7369,-8.6386
CT23,37.5114,-8.0603
CT33,39.9167,-8.4333
CT289,40.5553,-8.6814
CT234,38.6464,-7.5464
CT103,41.5333,-8.7833
CT271,38.9532,-7.6757
CT164,41.1667,-7.8833
CT94,38.9581,-8.5283
CT313,41.3002,-7.7398
CT20,38.8475,-9.2714
CT15,41.2395,-8.5244
CT127,40.15,-8.1167
CT217,40.7833,-7.0667
CT167,41.5,-6.2667
CT170,40.9819,-7.6158
CT218,40.2167,-8.25
CT16,41.2764,-7.4749
CT86,41.3869,-8.0022
CT149,41.5333,-6.95
CT224,38.3,-7.7
CT188,39.5167,-7.65
CT46,41.4039,-8.769
CT159,41.2077,-8.6674
