source,target,value
CT43,CT175,16541
CT43,CT67,24129
CT43,CT223,27702
CT43,CT99,31310
CT43,CT157,35273
CT43,CT123,36072
CT315,CT77,26892
CT315,CT188,16461
CT315,CT230,26744
CT315,CT148,33726
CT315,CT126,34316
CT315,CT134,52563
CT59,CT88,18975
CT59,CT176,20205
CT59,CT239,24548
CT59,CT312,25434
CT59,CT295,34274
CT97,CT79,24664
CT97,CT25,10781
CT97,CT223,22107
CT97,CT188,28555
CT97,CT157,28850
CT97,CT222,35827
CT295,CT319,38418
CT295,CT88,22026
CT295,CT149,34507
CT295,CT168,19250
CT295,CT184,28584
CT156,CT53,14830
CT156,CT140,11873
CT156,CT291,21178
CT156,CT186,22207
CT58,CT317,7137
CT58,CT106,13595
CT58,CT234,21462
CT58,CT67,45393
CT58,CT99,29507
CT58,CT271,27935
CT290,CT35,5431
CT290,CT195,11102
CT290,CT309,4675
CT290,CT150,3909
CT250,CT203,11398
CT250,CT238,10335
CT250,CT110,9726
CT250,CT285,7642
CT298,CT66,21861
CT298,CT103,20996
CT298,CT221,24459
CT298,CT36,24732
CT298,CT50,28624
CT258,CT199,16649
CT258,CT96,25494
CT258,CT130,13783
CT258,CT154,16179
CT258,CT187,18180
CT132,CT55,23231
CT132,CT85,17165
CT132,CT243,28240
CT132,CT121,26750
CT132,CT154,29997
CT132,CT21,41180
CT268,CT75,12676
CT268,CT254,3463
CT268,CT277,6770
CT268,CT63,8586
CT66,CT307,11513
CT66,CT36,24822
CT252,CT196,7696
CT252,CT202,12703
CT252,CT112,5070
CT252,CT292,11181
CT252,CT38,15081
CT245,CT48,8684
CT245,CT56,5627
CT245,CT73,16800
CT245,CT94,26733
CT245,CT305,20442
CT245,CT13,20980
CT180,CT42,30377
CT180,CT47,29326
CT180,CT177,35401
CT180,CT296,42143
CT180,CT94,36445
CT180,CT222,40958
CT276,CT34,19597
CT276,CT300,18489
CT276,CT316,14774
CT276,CT220,15701
CT276,CT30,11235
CT294,CT101,5730
CT294,CT129,5129
CT294,CT241,6200
CT294,CT15,7269
CT294,CT206,15628
CT147,CT203,9282
CT147,CT210,10235
CT147,CT113,12830
CT322,CT321,3272
CT322,CT113,6316
CT322,CT133,8018
CT322,CT108,12267
CT174,CT86,5096
CT174,CT239,19952
CT174,CT287,10840
CT174,CT29,19874
CT174,CT108,20995
CT287,CT62,5044
CT287,CT86,12961
CT287,CT239,15336
CT287,CT108,19567
CT310,CT190,21990
CT310,CT267,30348
CT310,CT249,37748
CT310,CT17,49045
CT310,CT173,52326
CT310,CT201,55140
CT278,CT200,16994
CT278,CT92,16395
CT278,CT116,17654
CT278,CT100,17058
CT278,CT281,18133
CT277,CT254,6492
CT277,CT20,9940
CT277,CT151,10856
CT277,CT63,11806
CT293,CT307,14842
CT293,CT207,15923
CT293,CT172,15165
CT293,CT36,29284
CT293,CT34,29637
CT138,CT302,24232
CT138,CT74,19683
CT138,CT225,13749
CT138,CT173,27422
CT138,CT17,29798
CT260,CT4,11029
CT260,CT213,14103
CT260,CT170,15147
CT260,CT284,19713
CT260,CT161,22893
CT80,CT206,270
CT80,CT210,4647
CT256,CT1,8776
CT256,CT301,18501
CT256,CT126,23448
CT256,CT283,11921
CT256,CT148,16189
CT256,CT92,17014
CT207,CT34,15150
CT207,CT36,15011
CT207,CT307,17348
CT207,CT220,18109
CT207,CT162,36886
CT207,CT172,21223
CT68,CT199,19629
CT68,CT187,4694
CT68,CT72,13897
CT68,CT153,16678
CT68,CT279,16972
CT68,CT320,18500
CT83,CT201,15151
CT83,CT23,22979
CT83,CT18,23559
CT83,CT163,42924
CT83,CT115,43344
CT171,CT179,6786
CT171,CT52,8746
CT136,CT60,12286
CT136,CT84,10401
CT136,CT238,5576
CT136,CT110,10043
CT136,CT133,11746
CT133,CT321,7628
CT133,CT108,11506
CT133,CT228,15117
CT133,CT238,11038
CT133,CT113,12785
CT301,CT116,12829
CT301,CT262,15189
CT301,CT148,21512
CT301,CT230,23619
CT51,CT183,45326
CT51,CT182,46060
CT51,CT261,63803
CT102,CT35,5591
CT102,CT38,8427
CT102,CT195,12911
CT102,CT112,13795
CT274,CT81,20026
CT274,CT139,11288
CT274,CT40,15410
CT274,CT170,16192
CT213,CT308,26835
CT213,CT161,12032
CT213,CT253,18485
CT213,CT170,21108
CT213,CT273,23298
CT213,CT284,24831
CT81,CT311,19666
CT81,CT255,22244
CT81,CT139,23359
CT81,CT236,24626
CT285,CT303,17727
CT285,CT229,19487
CT285,CT110,10074
CT285,CT15,12466
CT285,CT152,13843
CT285,CT101,15292
CT184,CT304,29910
CT184,CT312,19830
CT184,CT242,20223
CT184,CT168,26721
CT184,CT16,15359
CT184,CT71,23107
CT309,CT226,2064
CT309,CT150,2536
CT283,CT1,4513
CT283,CT92,8860
CT283,CT222,33694
CT283,CT306,17872
CT316,CT117,6423
CT316,CT233,11509
CT28,CT109,1698
CT28,CT232,2195
CT286,CT198,12034
CT286,CT3,4882
CT286,CT6,10177
CT286,CT114,7184
CT286,CT265,16003
CT112,CT202,11155
CT112,CT38,11239
CT98,CT54,14342
CT98,CT299,10150
CT98,CT27,15657
CT98,CT115,24368
CT98,CT18,43276
CT98,CT182,42024
CT88,CT176,31184
CT143,CT194,23111
CT143,CT111,17971
CT143,CT231,11890
CT143,CT251,13808
CT143,CT23,45292
CT144,CT191,4058
CT144,CT44,21122
CT144,CT244,7546
CT144,CT20,10111
CT42,CT107,20849
CT42,CT177,24114
CT42,CT106,40836
CT42,CT271,40995
CT42,CT296,45119
CT157,CT79,7475
CT157,CT223,10241
CT29,CT86,15870
CT29,CT155,12655
CT29,CT49,13818
CT29,CT113,15878
CT60,CT50,18339
CT60,CT233,3631
CT60,CT84,4077
CT60,CT117,12774
CT60,CT228,14459
CT288,CT69,15907
CT288,CT90,8236
CT288,CT160,12596
CT288,CT142,12968
CT175,CT67,35387
CT175,CT123,20771
CT175,CT271,26112
CT175,CT25,28200
CT3,CT32,17407
CT3,CT198,8615
CT3,CT114,6514
CT153,CT320,16004
CT153,CT211,10755
CT153,CT257,16325
CT153,CT130,20282
CT153,CT187,13495
CT36,CT34,17857
CT36,CT221,3237
CT36,CT220,16237
